Pubchem CID,Label,Data Set,Standardized_SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
1990,0,Test set,CC(O)=NO,7.861111111111111,-0.314814815,7.861111111111111,0.3148148148148144,0.1887871566735858,75.067,70.027,75.0320284,30,0.219296633130044,-0.49446166,0.4944616598435057,0.219296633130044,1.8,2,2,16.45483214506126,10.81559441133514,1.68034534752222,-1.721472143,1.564410400166557,-1.814832197,5.690312637319134,0.3010923474173513,3.143197306278068,45.60964047443682,4.284457050376173,2.841640786499874,2.841640786499874,2.270055610029662,1.147213595499958,1.147213595499958,0.6472135954999579,0.6472135954999579,0.1447213595499958,0.1447213595499958,0,0,-0.73,9.65148445440323,4.269999999999999,1.575810397553516,3.269999999999997,29.54202163195628,10.31378041961799,0,0,5.897745344357611,0,0,0,0,0,0,5.15571272675054,0,6.923737199690624,0,10.31378041961799,5.897745344357611,0,0,5.15571272675054,6.923737199690624,0,0,0,0,0,0,0,16.21152576397561,0,0,6.923737199690624,5.15571272675054,0,0,52.82000000000001,0,0,0,5.897745344357611,0,0,6.923737199690624,0,0,5.15571272675054,10.31378041961799,0,0,0,17.7037037037037,0,-0.314814815,0,0,1.277777777777778,0,0.5,5,2,3,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0.352,17.5243,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3375,0,Test set,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,16.86572995401864,-2.240047359,16.86572995401864,0.04087480053749948,0.6458961652645259,410.4570000000002,382.2330000000002,410.1904804359999,160,0.1899061922886972,-0.389712382,0.3897123822878491,0.1899061922886972,1.275862068965517,1.931034482758621,2.551724137931035,19.14885006178589,9.440344930334145,2.760028721679516,-2.625747475,2.704271990952656,-2.701866544,6.011133799571366,-0.223431349,1.870214328192292,839.0592591842881,21.56854962182284,16.86129559170925,16.86129559170925,13.37391699673154,10.20392325143392,10.20392325143392,9.843817833499054,9.843817833499054,8.778791524579889,8.778791524579889,7.254277920879638,7.254277920879638,-1.44,2207587.168321082,20.81750390614292,6.048791753791716,2.188483334830496,168.0373210142009,15.31958218452212,18.3796081710069,17.23524971147556,0,0,0,9.589074368143644,8.78083009534964,0,0,19.92349450621513,55.74715890452848,16.74788698495495,6.103966387748303,33.6894866480154,11.56648989272988,0,0,28.58369907727774,63.57912888083785,6.606881964512918,23.80116485057091,0,0,8.78083009534964,0,0,57.03840645475287,9.589074368143644,28.58369907727774,40.0336764678499,23.80116485057091,0,0,94.83,70.30252334750848,24.90865655266576,8.78083009534964,24.83556939884729,0,6.076020106833881,19.07577741335839,13.84747439938125,0,0,0,32.09582821554547,0,24.34952391321742,31.8814643325936,-6.808051356,-3.243430154,0,0.4272394405037805,3.964092275461098,0,0.7272727272727273,29,3,5,4,0,4,0,0,0,5,3,7,2,3,0,3,4,1.8437,100.2234,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9800339,0,Test set,COc1ccc(CC(C)(C)NCC(O)c2cc(O)cc3c2OCC(=O)N3)cc1,11.48887553421135,-0.91111627,11.48887553421135,0.04528421368425084,0.5830459262462236,386.4480000000001,360.2400000000001,386.1841719,150,0.2619115649559512,-0.507868878,0.5078688783497917,0.2619115649559512,1.285714285714286,2,2.678571428571428,16.48792670207881,9.938826113248375,2.257763920015746,-2.291485441,2.38332990642977,-2.430698478,5.956449183456773,-0.118228762,1.671406590624716,848.6196013189631,20.31119030894212,16.28194429027853,16.28194429027853,13.26998872689992,9.128306279108553,9.128306279108553,7.553966726241957,7.553966726241957,4.662191912791283,4.662191912791283,3.260046525948209,3.260046525948209,-2.77,1524356.789515603,19.97693222098879,8.078891370270954,4.736619119077302,163.8439496322669,30.32035790529417,17.24853549985172,6.606881964512918,0,5.907179729351506,0,4.794537184071822,0,0,0,12.13273413692322,44.03084871938908,23.71350021845452,18.9011502037094,24.48131788135333,11.59456600403507,0,5.316788604006331,0,31.91118766243891,25.57822451570936,47.52510539416365,17.24853549985172,20.10730311561276,5.687386274683562,17.24853549985172,0,41.92059568311928,11.21535880699783,0,31.07834377052354,36.39820241076966,0,0,100.05,6.103966387748303,15.00759197375323,0,30.34725518544425,17.00034959966446,17.73378494790691,12.13273413692322,7.109797541277533,24.26546827384644,24.48105160739391,9.473725907600098,10.65147988223141,0,11.48887553421135,26.61124878620581,1.667359305072859,0.859936077400506,10.73638480797365,-0.152764599,4.25144328502101,1.636036920733863,0.3809523809523809,28,4,7,0,1,1,2,0,2,6,4,7,7,0,0,0,3,2.376,105.971,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250,0,Test set,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,14.04831457148793,-1.180193279,14.04831457148793,0.09389397875807282,0.1627604393492829,558.6500000000003,523.3700000000003,558.2530004399999,214,0.3054724296571262,-0.481159428,0.4811594283591253,0.3054724296571262,0.8536585365853658,1.463414634146341,2.048780487804878,19.14214906519822,9.941042014552437,2.305307894118889,-2.198306925,2.423242557556661,-2.223751225,6.121341758995989,-0.139066097,1.891136858699183,1467.261472278087,29.51793261119916,23.12669713690661,23.12669713690661,19.65077480093882,13.6733331012442,13.6733331012442,10.41314078342409,10.41314078342409,6.929700520922142,6.929700520922142,5.203120086669144,5.203120086669144,-4.27,1186797891.381011,29.70638673429237,13.39112351054188,7.279067288565614,238.4573239468712,25.2034704363198,5.817220841045895,0,0,5.907179729351506,5.969305287951849,9.589074368143644,4.39041504767482,0,0,62.37841094707412,66.28465468617706,23.48952216714159,29.88613388496807,29.29907160034058,17.56387129198692,0,4.567099647791355,0,57.78053449572985,5.316788604006331,102.0037392860539,22.38428246993945,5.316788604006331,10.07780132235838,0,0,43.97109962511342,11.3392935899844,5.817220841045895,55.07976198493796,84.92913895846256,0,22.38428246993945,111.79,24.59805968637446,24.19254420549987,0,37.02870626832339,28.07166874462301,11.25737948654546,12.13273413692322,12.13273413692322,79.0782447317887,5.316788604006331,5.106527394840706,15.99898332745205,0,25.02345449927138,32.78224420143489,4.773502105591753,-1.934556744,24.7780495816537,-2.50739841,4.25238810622198,0,0.2727272727272727,41,4,7,0,0,0,3,1,4,5,4,8,12,0,0,0,4,6.313600000000008,157.2465999999997,1,2,2,0,0,1,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5587,1,Test set,CN(C)CCN(Cc1ccccc1)c1ccccn1,4.460590986394558,0.8945370370370369,4.460590986394558,0.8945370370370369,0.7908033413514378,255.365,234.1969999999999,255.1735477,100,0.1283041545635883,-0.351010755,0.3510107547083148,0.1283041545635883,0.8947368421052632,1.631578947368421,2.263157894736842,15.20790324256785,10.1809066560354,2.079388737905376,-2.250351246,2.130899468135353,-2.314005123,5.386077613383263,0.4118582322506797,2.10233907270632,467.867423389797,13.50178923218363,11.65911355276615,11.65911355276615,9.25402019542349,6.601435102008596,6.601435102008596,4.898366108709462,4.898366108709462,3.006665484224845,3.006665484224845,1.939926535160061,1.939926535160061,-1.87,25804.33928702468,13.55908831814355,6.901777556094249,4.375413511197604,115.0525232188973,9.799819461700956,5.817862777835028,0,0,0,0,0,4.983978520947209,0,0,36.39820241076966,31.79152959397459,25.8311127893508,0,0,5.817862777835028,0,9.883888251797686,0,6.544756405912575,32.08476650803001,60.29123161100296,0,4.899909730850478,5.817862777835028,0,0,37.06874502897722,6.544756405912575,0,5.563451491696996,54.72778011930596,0,0,19.37,0,0,0,0,0,25.45213199557275,5.563451491696996,0,18.3295777085363,65.2773443587722,0,0,0,8.970776171579743,0,1.311952947845805,1.035373204837491,16.58940405328798,1.850185185185185,2.882945247543462,4.192696523053666,0.3125,19,0,3,0,0,0,1,1,2,3,0,3,6,0,0,0,2,2.649800000000001,80.28300000000006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3250,0,Test set,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,12.52586844923155,-0.217598235,12.52586844923155,0.01260133219954596,0.8016505820392625,325.4120000000001,302.228,325.179027,126,0.2280311459498074,-0.394254211,0.3942542113137291,0.2280311459498074,1.5,2.333333333333333,3.125,16.25274801166348,9.795197093251268,2.351983872741963,-2.392083457,2.401964836123519,-2.479058718,5.989223134527095,-0.124737611,1.745962361723902,823.1262741208847,16.84457050376174,14.04279797854043,14.04279797854043,11.57971869811898,8.50704177044572,8.50704177044572,7.022255817036692,7.022255817036692,5.267512441743629,5.267512441743629,4.010100258329156,4.010100258329156,-2.11,474343.9085856882,15.41959078603953,5.756503799910857,2.35565799247844,140.9007776974177,15.40729451979425,0,0,5.907179729351506,0,0,9.694446914922299,0,0,0,18.2087542437571,43.15860538721869,35.72820656790263,12.52478801067431,9.901064578912528,22.38320919150183,0,15.20067685580402,5.917906046161393,25.42824048091256,20.19931035310268,41.59886786722578,0,5.316788604006331,0,0,0,53.18058738738849,11.21535880699783,5.917906046161393,18.05064018308461,30.47196488383179,0,16.47602946215033,68.36,0,4.794537184071822,0,24.47380856917378,12.58659723506054,11.93752234054227,22.08623172792806,0,6.923737199690624,52.72031372231299,5.106527394840706,0,0,18.16095812341619,13.34238142457524,4.994623369639154,-0.201492111,6.423313399229706,5.218301496333153,2.473419320845367,2.088494976694382,0.4210526315789473,24,3,5,1,1,2,1,1,2,3,3,5,3,0,0,0,4,1.5346,94.57820000000004,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445643,1,Test set,C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,14.30372616293845,-2.50837943,14.30372616293845,0.01202070815377665,0.1849555364451367,804.0310000000001,734.479,803.4819766480001,322,0.3289793001940113,-0.455930993,0.4559309928945919,0.3289793001940113,0.9122807017543859,1.578947368421053,2.228070175438596,16.66258028080913,9.813227927704405,2.563616655382075,-2.46633664,2.391395795137563,-2.641932783,6.387431970794651,-0.302292633,1.77849422175615,1478.295890046004,42.18914100752344,35.39308145863372,35.39308145863372,26.98305767387821,20.92473200626556,20.92473200626556,17.27834992293143,17.27834992293143,12.84989154183515,12.84989154183515,9.444570548669624,9.444570548669624,-2.78,1192347300534.843,46.90439588380224,20.95526620573121,11.28725240948819,338.6959777107149,43.90380668437284,18.24977360464457,5.783244946364939,5.787111152570596,11.69042467571644,5.969305287951849,14.38361155221547,4.794537184071822,0,6.578935683598497,45.92300911926414,100.0318806275735,46.13078274499397,30.51983193874151,58.18204568980965,23.44297491003323,0,4.899909730850478,29.58953023080696,159.8044405465959,27.87414902974518,35.95320506423867,0,0,0,0,0,126.0933325511077,42.86246350528753,29.58953023080696,105.2477238506392,35.95320506423867,0,0,178.36,77.94829236419945,34.4977309208094,0,55.44815074728803,62.51278204354661,0,19.11950481340554,27.03329204749266,25.99951461304901,13.50267288328912,23.68431476900025,29.75373492801214,0,57.79236070314274,34.138976184969,1.178414872255997,-7.319033451,-1.143992516,4.885955242949463,13.18223187129459,4.614685497650697,0.7727272727272727,57,3,13,1,3,4,0,0,0,12,3,13,7,1,2,3,4,4.639000000000004,212.5923999999992,0,3,2,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71406,0,Test set,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)OCCO)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,12.50317420477446,-0.518274691,12.50317420477446,0.0633166209887388,0.140114708241299,574.8430000000004,516.3790000000005,574.4233396,234,0.3112903330978709,-0.486978989,0.4869789887349418,0.3112903330978709,0.8536585365853658,1.439024390243902,2.048780487804878,16.54602474870249,9.834642541619592,2.34493740185446,-2.381955912,2.447675696554055,-2.368523855,5.795410992264644,-0.147250045,1.863595149003287,983.6107363288631,30.57877502244373,27.32710757318636,27.32710757318636,19.36289886123936,16.15218139927936,16.15218139927936,13.34014345935429,13.34014345935429,8.941599212272784,8.941599212272784,6.013786474229763,6.013786474229763,-2.08,424068910.0943295,35.11789077152301,17.136836619669,11.60871000622976,249.4668069242736,19.31711625624085,23.70695644206442,0,0,0,11.9386105759037,9.589074368143644,0,0,0,72.64070015924456,87.82230790404171,5.563451491696996,19.44852521036494,28.90619062438449,11.9386105759037,0,0,17.75371813848418,144.4616295065468,13.21376392902584,22.25380596678798,11.49902366656781,9.473725907600098,0,11.49902366656781,0,35.85995271075393,20.7467589448697,38.52492973755605,133.9223514403533,0,0,0,82.06000000000002,11.9386105759037,9.589074368143644,0,31.65645798586154,5.749511833283905,65.0195008073341,51.36657298340809,0,20.77121159907187,34.61868599845312,19.31711625624085,17.28279160821332,0,24.17652813660302,8.763713416020494,3.778116088721616,2.945460117934251,0,13.24955908270946,17.38716488313118,0,0.7714285714285715,41,1,6,0,1,1,1,0,1,6,1,6,18,0,0,0,2,8.355760000000007,165.6397999999996,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40973,0,Test set,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,11.19758023116654,-0.913682603,11.19758023116654,0.1151940428949356,0.540960336622813,310.4810000000001,280.241,310.2296656,124,0.1308962363846941,-0.377010292,0.3770102921795535,0.1308962363846941,1.391304347826087,2.217391304347826,2.956521739130435,16.2860299663509,9.480298532153586,2.636606558755574,-2.564710598,2.667047508379703,-2.536348258,5.3208798716126,-0.078839465,1.744807479535185,593.5842225586628,16.24227620818978,14.48238302250319,14.48238302250319,11.06060893798047,9.628402757325688,9.628402757325688,8.539246472864725,8.539246472864725,8.014165214750907,8.014165214750907,7.025729552989744,7.025729552989744,-1,269954.9902715003,15.5232,5.25,1.91005291005291,140.7939638957282,5.106527394840706,5.601050810983688,0,0,0,0,0,0,0,6.423349895620259,36.64533636911718,81.45901879097967,5.41499046939678,0,5.106527394840706,0,0,0,29.08661465404235,70.3121826170084,0,23.80116485057092,12.3437842144759,0,0,0,0,10.70757820582439,0,41.43039886851825,64.71113180602472,23.80116485057092,0,0,20.23,5.601050810983688,5.106527394840706,0,5.41499046939678,17.75371813848418,31.60119253786543,37.67721264469932,5.573104530069267,0,25.49912730897865,6.423349895620259,0,0,0,11.19758023116654,2.076708540669356,5.483405848450491,0,18.64789439772823,6.761077648652053,0,0.7272727272727273,23,1,1,4,0,4,0,0,0,1,1,1,1,3,0,3,4,4.869700000000004,94.62580000000005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6433119,1,Test set,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,12.23634429093033,-0.473503769,12.23634429093033,0.07468235589775918,0.7792136827945353,435.8890000000001,417.7450000000001,435.0655693559999,152,0.4143148987822782,-0.44204578,0.4420457797826124,0.4143148987822782,1.137931034482759,1.862068965517241,2.517241379310345,35.49601761239222,10.19418112855972,2.325186920710259,-2.267962559,2.256822984904787,-2.411799072,7.175002678736833,-0.125272024,1.349612045239759,932.180757191145,20.38010440969447,15.29886719705244,16.87129272399863,14.00804039084698,9.009316530198088,10.20377758413504,6.544515523259657,8.259599624598911,4.620242185705022,5.850162309235637,3.172192841328079,4.13166339184211,-2.62,5913219.991870201,19.68586233949547,8.399184390047482,4.364459706287882,175.486129828525,19.69042424245691,12.71084835226122,0,0,11.81435945870301,6.093240070938415,14.48898409899412,4.794537184071822,0,11.33678587793474,11.60093989023252,36.39820241076966,17.9195289552797,28.90987098578499,23.85733745981556,52.2200978471758,0,5.316788604006331,0,6.103966387748303,42.64785260846451,45.61167862021659,0,15.11660806570729,16.16930973343895,0,22.93772576816725,56.85959906415329,14.26826309167192,0,9.671684377773122,36.39820241076966,4.336329015745631,0,88.18,12.19720645868672,14.38361155221547,0,24.9659978291285,34.59725726046857,5.687386274683562,16.23669560878522,41.29811214162014,0,5.316788604006331,21.07466579783262,11.02690343629521,7.029988608909025,39.94625965068371,2.756728424003302,1.422555410017046,-0.344123915,10.43798981772488,-0.929631792,1.597774803458124,0,0.3157894736842105,29,1,8,0,2,2,1,1,2,6,1,10,5,0,2,2,4,2.519900000000001,108.8912,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
