Pubchem CID,Label,Data Set,Standardized_SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
216237,0,Training set,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,13.45126936929246,-0.651269822,13.45126936929246,0.1417103722929838,0.540891219756549,448.9500000000001,423.7500000000002,448.1553703,164,0.2580477847196837,-0.388338433,0.388338432619359,0.2580477847196837,1,1.78125,2.53125,35.49569197822392,10.03143590134713,2.269645622041705,-2.242715604,2.355319796547575,-2.319335707,6.303921394348697,0.09845641742901855,1.595098388794293,1191.43955484818,22.82769816688717,18.0610615495824,18.81699049560086,15.34624434829851,10.61921221590591,10.99717668891514,8.116700530911098,8.553136311383083,5.848181246961243,6.083278349748982,4.120608212523066,4.301150842751808,-3.15,16516990.61431352,22.0585694077172,9.14733509953085,4.400921091119371,192.1895373262453,15.32322572969751,0,0,0,11.81435945870301,0,9.589074368143644,0,0,0,29.80004109561735,80.28059010785853,39.63251674411201,6.103966387748303,14.69560176298435,34.79007189830265,0,0,0,32.79308403298157,16.76145474076938,93.50356145684242,0,10.21669833485681,11.37477254936712,0,11.60093989023252,23.46564325945629,0,13.84747439938125,56.35194146022894,60.6636706846161,5.022633313741326,0,69.64,6.103966387748303,14.69560176298435,0,11.81435945870301,52.47415998996403,11.12690298339399,0,47.36447921008175,32.04657560476608,5.316788604006331,11.60093989023252,0,6.128644006112996,27.78079238703899,13.92877132473725,4.80836494194065,-0.327924893,17.93410090304916,0.6015054656111511,4.256856976079368,0,0.2307692307692308,32,2,5,0,1,1,3,0,3,3,2,6,3,0,0,0,4,5.683140000000005,127.6335,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5595,0,Training set,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,12.44743716931217,-0.193145314,12.44743716931217,0.0693168934240358,0.8623995997288066,284.3590000000001,264.199,284.1524779,110,0.340085898751562,-0.458602166,0.4586021659627658,0.340085898751562,1.238095238095238,1.952380952380952,2.714285714285714,16.54360122725008,10.00301756641204,2.395400447025089,-2.352702347,2.354769591418273,-2.429261503,6.035596035841325,-0.000257966,1.513481321644544,664.2348742297402,14.39697674656903,12.21093945469088,12.21093945469088,10.22034669061228,7.711752207016089,7.711752207016089,6.297121908368318,6.297121908368318,5.137845639023813,5.137845639023813,3.913054502814252,3.913054502814252,-1.81,129971.4234696669,12.89513129571904,4.879439612932782,2.141048187654557,123.6299457945115,14.62075120559773,6.103966387748303,0,0,0,5.969305287951849,0,4.794537184071822,0,0,18.19910120538483,25.95568229699082,42.02509340784208,5.563451491696996,9.53140013787187,16.87223022003291,0,9.883888251797686,0,43.87093453774827,7.04767198267719,36.02576333715651,0,0,0,0,0,41.08851356847095,4.736862953800049,0,36.04127516747285,30.46231184545951,0,10.90292493208106,45.33,0,4.794537184071822,0,12.07327167570015,17.64713314999292,23.74456817793308,12.84164324585202,6.196843571613076,24.26546827384644,16.93156023447488,4.736862953800049,5.787371504157219,0,18.03603494792979,0.9429624380616447,1.629418461829176,-0.193145314,9.016341591809665,6.253200274319502,0,2.194482762240699,0.4705882352941176,21,1,4,0,2,2,1,1,2,3,1,4,2,0,2,2,4,2.949900000000001,81.30920000000005,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54671203,1,Training set,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,13.62542091836735,-2.971816067,13.62542091836735,0.112226263962375,0.3914041938845412,444.4400000000002,420.2480000000002,444.1532657,170,0.2352863392248181,-0.507187062,0.5071870620584297,0.2352863392248181,1.125,1.75,2.3125,16.32497021765552,9.492209394682032,2.723795446215226,-2.554934471,2.537351252932229,-2.773294107,6.321440688662222,-0.196401378,1.963116740907706,1081.689166739006,23.85892465059366,17.68094879540503,17.68094879540503,14.86670827913139,10.21476937521976,10.21476937521976,9.106770778181765,9.106770778181765,7.354078208781387,7.354078208781387,5.949421537867772,5.949421537867772,-2.95,8427682.935942445,22.25132106376299,7.025480099027781,2.53766382537367,182.543019613278,21.0532496616843,5.749511833283905,34.65193664260484,5.907179729351506,0,0,28.87259565120959,0,0,0,19.05647133661384,31.64306857167438,5.917906046161393,29.54507080091604,39.29226810488122,29.04015951481126,0,4.899909730850478,29.40529166180776,30.58850127373197,14.09534396535438,29.32600418877882,5.749511833283905,5.733667477162185,0,5.749511833283905,0,81.10185342341818,19.17814873628729,23.67162418464557,28.76308341331783,18.19910120538483,0,0,175.3,76.37654777349817,39.29226810488122,0,11.3129633249809,5.563451491696996,0,31.12798783312808,12.99010426815223,0,0,5.733667477162185,0,0,66.34872773767705,33.08916847605791,2.582580447308759,-13.06478157,3.026167021018437,-1.619189342,1.659328756193836,2.89466514072214,0.5,32,5,10,3,0,3,1,0,1,9,4,10,2,2,0,2,4,-1.6012,107.4593,0,2,1,0,0,0,0,1,0,0,5,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2431,0,Training set,CC[N+](C)(C)Cc1ccccc1Br,3.568107048374905,1.03037037037037,3.568107048374905,1.03037037037037,0.7156100675468327,243.168,226.032,242.05388806409,72,0.1050444476032602,-0.324924445,0.3249244451167413,0.1050444476032602,1.230769230769231,1.846153846153846,2.384615384615385,79.91873101752424,10.17552235557286,2.134140306892616,-2.280891943,2.187113295323562,-2.377619819,9.103214222433314,-0.901437354,2.800149853719884,281.1736972972258,9.89734122549854,8.548792707640784,10.13478924675549,6.049642036287644,4.603875400507652,5.396873670065005,4.001482657629314,4.855819556803835,2.412275794623905,3.185894660277546,1.199566614428289,1.609729616438466,-0.34,716.5847450857474,10.73898894154818,4.248460270697676,3.124852513931824,89.09346645392004,4.483030857694624,6.544756405912575,0,0,0,0,0,0,0,0,34.12904510333418,12.99010426815223,10.03617100752941,20.64010037126695,4.483030857694624,15.92994389794935,0,0,0,13.4684936056032,20.64010037126695,34.30163928137585,0,0,0,0,15.92994389794935,25.12313122896158,6.544756405912575,0,12.48718869138762,28.73818778967885,0,0,0,0,0,0,0,0,17.57254366951977,10.03617100752941,0,0,61.2144933368408,0,2.247638888888889,3.568107048374905,0,0,1.383657407407408,0,8.430574452003023,0,4.454466647770219,4.498888888888889,0.4545454545454545,13,0,1,0,0,0,1,0,1,0,0,2,3,0,0,0,1,3.045400000000002,60.49540000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5593,0,Training set,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,12.66061318972033,-0.506493292,12.66061318972033,0.05276643990929686,0.8845260918021192,284.359,264.199,284.1524779,110,0.2322434317492456,-0.395197643,0.3951976434391344,0.2322434317492456,1.19047619047619,1.857142857142857,2.428571428571428,16.25314860338265,9.980091138349879,2.239136711312745,-2.254048826,2.188001055493627,-2.355202552,5.834660150468101,-0.133728493,2.146782666717088,557.5174956355265,15.07913950137325,12.14471211241964,12.14471211241964,10.25755015527363,7.093771290339308,7.093771290339308,4.853719412864044,4.853719412864044,3.498796297567055,3.498796297567055,2.28595434854294,2.28595434854294,-2.2,71533.33217241454,15.19383736353433,7.547431043807464,3.88956269038199,124.6133875153303,10.00643712569118,0,0,5.907179729351506,0,0,9.77851570501903,0,0,0,30.33183534230805,30.18337432000783,25.4831999550513,12.52478801067431,9.901064578912528,5.907179729351506,0,9.883888251797686,0,19.38639965176459,13.15163837042549,65.98515960585142,0,0,0,0,0,34.04923374641539,11.3392935899844,0,23.96854622924601,54.85825662245742,0,0,53.43000000000001,5.917906046161393,9.901064578912528,0,12.51406169386442,13.08951281182515,11.12690298339399,0,17.29359687407663,49.38830667892189,4.983978520947209,0,0,0,18.39258355734907,9.602873519778282,1.877897980179726,-0.559259732,13.19718616844248,3.433275856638952,2.888775982615268,0,0.2941176470588235,21,1,4,0,0,0,1,1,2,3,1,4,6,0,0,0,2,2.2062,81.59680000000004,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91488,0,Training set,CC12C=CC(=O)C=C1C(F)CC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,16.78409730095742,-2.365151355,16.78409730095742,0.02162519946250052,0.5272333360256798,412.4290000000002,386.2210000000001,412.1697449919999,160,0.1923133368363192,-0.389712368,0.3897123682612955,0.1923133368363192,1.206896551724138,1.862068965517241,2.482758620689655,19.14885087667394,9.440677927508702,2.766565475340725,-2.624150177,2.694760557300656,-2.704676438,6.011161476897687,-0.225764092,1.870214328192292,841.0279543860647,21.56854962182284,16.30850918720921,16.30850918720921,13.37391699673154,9.884771871991457,9.884771871991457,9.45856803914901,9.45856803914901,8.417558411847468,8.417558411847468,6.842643034660917,6.842643034660917,-1.48,2207587.168321082,20.77908456135589,6.029796429983845,2.18011331328248,166.4666126520004,20.42610957936282,12.77855736002321,22.83630052245924,0,0,0,9.589074368143644,8.78083009534964,0,0,12.9997573065245,49.82925285836708,16.74788698495495,12.20793277549661,38.79601404285611,11.56648989272988,0,0,22.66579303111635,62.75935806889554,6.606881964512918,23.80116485057091,0,0,8.78083009534964,0,0,68.24890023734187,9.589074368143644,22.66579303111635,33.10993926815928,23.80116485057091,0,0,115.06,70.4885836890954,30.01518394750646,8.78083009534964,24.83556939884729,0,12.15204021366776,19.92349450621513,0,0,0,0,31.95169556248425,0,24.15646606197776,41.99243393377966,-7.757739565,-3.372117271,0,-2.213638195,1.909566139019377,0,0.7142857142857143,29,4,6,4,0,4,0,0,0,6,4,8,2,3,0,3,4,0.5685,97.06620000000002,0,4,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54313,0,Training set,CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,10.58311028276089,-0.738223226,10.58311028276089,0.08454904921081074,0.3514175873049406,360.4940000000002,328.2380000000001,360.2300595039999,144,0.3028511153880555,-0.481230254,0.4812302537920116,0.3028511153880555,1.384615384615385,2.153846153846154,2.846153846153846,16.36526102800121,9.891928914266783,2.444653335970993,-2.187449466,2.50103766203545,-2.191251704,5.66075773185274,-0.13660722,1.894498914595335,594.9988427388565,19.10408352775558,15.89578896797621,15.89578896797621,12.41792265557051,9.757190764750279,9.757190764750279,7.844599625704428,7.844599625704428,5.852811636848215,5.852811636848215,4.314765093675371,4.314765093675371,-1.57,626729.3929820317,20.73840367542214,9.943900964962015,5.721732528195639,156.5556158072224,15.31958218452212,0,0,0,0,5.969305287951849,4.794537184071822,0,0,11.84086863771129,30.72490205026153,56.78156345280485,18.75954929201341,12.20793277549661,20.11411936859394,5.969305287951849,0,0,23.67162418464557,71.00115853535993,0,23.80116485057091,11.84086863771129,0,0,0,0,33.49682024797057,4.794537184071822,35.51249282235685,58.79322575986333,23.80116485057091,0,0,77.76,12.07327167570015,15.00759197375323,0,24.3606001029971,24.6774553381748,25.68328649170404,5.573104530069267,6.923737199690624,19.07577741335838,17.91688874454517,5.106527394840706,0,0,10.58311028276089,29.39242921840569,1.405393958828303,6.246049539974006,0,10.41706514245736,3.789285190907083,0,0.6818181818181818,26,3,4,2,0,2,0,0,0,3,3,4,8,2,0,2,2,3.541300000000002,102.2754,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44093,1,Training set,CC(CS)C(=O)N1CCCC1C(=O)O,11.70490740740741,-0.900727513,11.70490740740741,0.09268518518518487,0.6816110954453929,217.29,202.17,217.0772643,80,0.3259145860914331,-0.479712137,0.4797121367472854,0.3259145860914331,1.642857142857143,2.285714285714286,2.785714285714286,32.11686699590184,10.13592666131524,2.347125219671246,-2.235373393,2.19691512108389,-2.428259791,7.797957932444188,-0.148902738,2.666969681693278,244.2115658823984,10.71517847069432,8.141265030553043,9.03569222155296,6.574586062669973,4.717313427051637,5.349768959085313,3.611517704699083,3.976666076369193,2.516370640493197,3.064093197998364,1.648397147677587,1.804582405020353,-0.71,1627.214537810446,11.3652445447705,4.682872740708367,2.203868686881722,88.68513507536183,10.00643712569118,6.041840829147961,0,5.907179729351506,0,5.969305287951849,4.794537184071822,4.794537184071822,12.62878914801299,0,6.923737199690624,12.84164324585202,18.21551605882076,0,14.69560176298435,24.50527416531634,0,4.899909730850478,5.917906046161393,25.8072212746906,12.29761001265936,0,0,0,0,0,12.62878914801299,40.22237298480186,9.589074368143644,5.917906046161393,19.76538044554264,0,0,0,57.61,12.01114611709981,9.589074368143644,0,11.8250857755129,18.71843163558538,6.42082162292601,4.899909730850478,6.923737199690624,0,12.62878914801299,5.106527394840706,0,4.033962112622827,23.98081349206349,8.874048091458805,0,-0.729454208,-0.620524691,1.349566326530612,2.333811098513479,0,0.7777777777777778,14,1,4,0,1,1,0,0,0,3,2,5,3,0,1,1,1,0.6279000000000001,55.38780000000003,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28332,0,Training set,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,12.34535840262031,-0.680578704,12.34535840262031,0.1394501133786845,0.6725578996267864,339.4790000000002,310.247,339.2198292,134,0.3059140002395213,-0.453468071,0.4534680708228068,0.3059140002395213,1.04,1.6,2.12,16.555368862061,9.767871267318109,2.415578736758851,-2.402307741,2.38017077334078,-2.444068299,5.694801129934898,-0.167824935,2.526296518136546,654.2421416714782,18.2862462825598,15.73588348107322,15.73588348107322,11.97519952249599,8.936435244973138,8.936435244973138,6.908804651468354,6.908804651468354,4.591690458029646,4.591690458029646,3.346278442886119,3.346278442886119,-2.13,360052.7036957435,19.19812843061907,8.816460640135487,4.925366990837758,151.1728194692811,9.636772684650527,5.601050810983688,0,0,0,5.969305287951849,4.794537184071822,0,0,0,74.51114508399735,25.22224694874837,25.30430569792599,0,9.53140013787187,5.969305287951849,0,4.899909730850478,5.917906046161393,32.29016845621695,20.64010037126695,71.7905736680101,0,0,0,0,0,31.50931539006928,21.55327257178157,5.917906046161393,31.39519900570125,60.6636706846161,0,0,29.54,5.601050810983688,4.794537184071822,0,11.88721133411324,12.84164324585202,12.10820789760957,5.563451491696996,0,43.32193961046028,50.18445916974191,4.736862953800049,6.174362244897959,0,14.49132259385236,0,1.537815098261528,-0.022225529,20.41763321995465,1.038350733812044,4.84208167989418,4.103993291761149,0.4090909090909091,25,0,3,0,0,0,2,0,2,3,0,3,8,0,0,0,2,4.275500000000004,102.3670000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5184,0,Training set,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,12.42388109410431,-0.593246646,12.42388109410431,0.06216458805744574,0.6618093940597772,303.358,282.1899999999999,303.1470582,118,0.3155498818388703,-0.461720049,0.4617200489884095,0.3155498818388703,1.318181818181818,1.954545454545455,2.545454545454545,16.60625813093832,9.97458692902896,2.624134338096563,-2.377024004,2.476030104256099,-2.476910817,5.780863714104793,-0.156139366,1.420002817876677,545.0371822548029,15.26722023457211,12.59134536703704,12.59134536703704,10.68587184800163,7.924469536693428,7.924469536693428,6.541621623120015,6.541621623120015,5.3267911941334,5.3267911941334,4.044514131084522,4.044514131084522,-1.43,257123.461718323,14.18067089266772,5.333924974919479,2.2416588494485,129.3709528987289,14.5802533024408,24.2298052094063,0,0,0,5.969305287951849,9.694446914922299,0,0,0,30.33183534230805,12.61112347437419,24.92532490414794,6.606881964512918,19.37479048651262,5.969305287951849,0,4.899909730850478,0,49.15513011355424,13.65455394719011,35.89528683400505,0,0,0,0,0,60.02587718237396,14.26826309167192,0,24.32300078371041,30.33183534230805,0,0,62.3,5.917906046161393,9.901064578912528,0,18.68015364021307,24.29161443379252,18.40509473754901,0,0,30.33183534230805,11.94758171352767,9.473725907600098,11.37500681330588,0,14.78885235575712,9.557785546317293,0.8028518413538258,-0.915242111,10.06153968132503,2.259683506628852,-0.225508236,2.128363935080205,0.5882352941176471,22,1,5,0,3,3,1,0,1,5,1,5,4,0,3,3,4,0.9180999999999995,79.38280000000005,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
